"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
13249,39.9,3.8722,23.226,0.4129,69.6136
13251,45.5,3.2943,44.0273,1.5077,57.0071
13253,47,3.5364,36.491,0.9068,60.7132
13255,43.1,4.1319,31.9804,6.3073,64.3462
13257,45.2,3.4309,11.806,2.5343,71.7821
13259,43.9,3.3772,67.3997,0.4638,39.5141
13261,46.2,3.2245,49.3774,3.2363,50.5651
13263,47.4,3.0523,58.6515,0.6496,37.5853
13265,53.5,2.1116,60.6012,0.1863,35.3749
13267,43.2,3.6028,26.9455,2.331,72.2688
13269,54.1,2.3458,41.1255,0.8654,56.7359
13271,46.1,2.4609,33.7745,1.3146,57.724
13273,49.8,2.6723,60.4207,1.0364,48.8055
13275,51.9,3.6036,37.0624,4.5275,61.6952
13277,44.9,3.7121,27.5255,4.1932,69.0495
13279,47.8,3.0203,24.0317,2.7601,70.7415
13281,43.7,3.9908,0.418527,1.0752,72.7567
13283,50.8,2.7627,33.9221,0.6907,61.6058
